Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money,Overall Rating,sentiment_score,sentiment_label,Sentiment Score,Sentiment,Review Length,Route Popularity,Airline Popularity,clean_review,Aircraft_Label
"""once a great airline is going downhill""",Boeing 777-200,Couple Leisure,Premium Economy,London Heathrow to Bangkok,2015-10-01,2.0,2.0,3.0,1.0,2.0,1,1.8333333333333333,0.6249,Positive,0.6249,2,7,8,171,once a great airline is going downhill,157
"""flight attendants seemed friendly""",A380,Solo Leisure,Premium Economy,SFO to LHR,2015-10-01,4.0,4.0,4.0,4.0,4.0,4,4.0,0.4939,Positive,0.4939,2,4,6,302,flight attendants seemed friendly,81
"""extremely friendly and competent""",A321,Business,Economy Class,London Heathrow to Milan Malpensa,2015-10-01,4.0,5.0,5.0,3.4,4.0,3,4.066666666666666,0.7233,Positive,0.7233,2,4,2,126,extremely friendly and competent,59
"""a mediocre performance from BA""",Boeing 787-800,Solo Leisure,Business Class,LHR to Chengdu,2015-03-01,4.0,1.0,2.0,4.0,2.0,3,2.6666666666666665,0.0,Neutral,0.0,1,5,1,2,a mediocre performance from ba,182
"""personal space is rather limited""",Boeing 777-300ER,Business,Business Class,Tokyo Narita to LHR,2015-01-01,4.0,3.0,2.0,3.0,4.0,4,3.3333333333333335,-0.2263,Negative,-0.2263,0,5,1,18,personal space is rather limited,169
"""very spacious suite""",Boeing 777-300ER,Business,First Class,LHR to Tokyo Narita,2015-01-01,5.0,5.0,5.0,5.0,4.0,5,4.833333333333333,0.0,Neutral,0.0,1,3,1,18,very spacious suite,169
"""will use other carriers""",Boeing 747- 400,Couple Leisure,Economy Class,MAN to LAS via LHR,2015-10-01,1.0,4.0,3.0,2.0,1.0,2,2.1666666666666665,0.0,Neutral,0.0,1,4,2,3,will use other carriers,127
"""the seat was roomy""",Boeing 777,Solo Leisure,Premium Economy,Heathrow (London) to JFK (New York City),2015-10-01,4.0,3.0,4.0,3.0,3.0,4,3.5,0.0,Neutral,0.0,1,4,1,452,the seat was roomy,145
"""FA's were happy to assist""",A380,Solo Leisure,Economy Class,LHR to SFO,2015-09-01,5.0,4.0,4.0,4.0,5.0,4,4.333333333333333,0.5719,Positive,0.5719,2,5,9,302,fas were happy to assist,81
"""very high standard of service""",Boeing 787,Couple Leisure,Economy Class,London to Chennai,2015-10-01,5.0,5.0,5.0,5.0,4.0,5,4.833333333333333,0.0,Neutral,0.0,1,5,3,97,very high standard of service,172
"""very good flying experience""",A380,Couple Leisure,Business Class,LHR to Venice,2015-10-01,4.0,4.0,5.0,3.4,4.0,4,4.066666666666666,0.4927,Positive,0.4927,2,4,1,302,very good flying experience,81
"""not helped by customer service""",A319 / E190,Solo Leisure,Economy Class,SFO to EDI via LHR,2015-09-01,2.0,3.0,3.0,4.0,1.0,2,2.5,0.0,Neutral,0.0,1,5,1,3,not helped by customer service,22
"""keep expectations in check""",Boeing 747-400,Business,Premium Economy,London to Phoenix,2015-10-01,4.0,5.0,4.0,3.0,3.0,4,3.8333333333333335,0.0,Neutral,0.0,1,4,6,275,keep expectations in check,129
"""nothing was offered to help""",A350,Solo Leisure,Economy Class,Antigua to St Kitts,2015-09-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.4019,Positive,0.4019,2,5,1,39,nothing was offered to help,79
"""lot of money for little in return""",Boeing 747-400,Couple Leisure,Premium Economy,SFO to LHR,2015-10-01,2.0,4.0,2.0,2.0,2.0,1,2.1666666666666665,0.0,Neutral,0.0,1,7,6,275,lot of money for little in return,129
"""complain about the way we were treated """,A380,Couple Leisure,Economy Class,LHR to JNB,2015-01-01,3.0,4.0,2.7091954022988505,2.636533432947329,1.0,2,2.55762147254103,-0.3612,Negative,-0.3612,0,8,8,302,complain about the way we were treated ,81
"""service however lacked shine""",Boeing 777,Couple Leisure,Economy Class,Orlando to London,2015-10-01,2.0,1.0,2.0,2.0,4.0,3,2.3333333333333335,0.0,Neutral,0.0,1,4,5,452,service however lacked shine,145
"""horrible return flights""",B0eing 747-400,Business,Economy Class,London to Cape Town,2015-10-01,1.0,2.0,3.0,2.0,4.0,1,2.1666666666666665,-0.5423,Negative,-0.5423,0,3,15,1,horrible return flights,99
"""lounge more like a refugee centre""",Boeing 777-200,Business,Business Class,Heathrow to Haneda,2015-10-01,2.0,5.0,4.0,2.0,2.0,3,3.0,0.4201,Positive,0.4201,2,6,1,171,lounge more like a refugee centre,157
"""cracks are starting to appear""",A319,Solo Leisure,Economy Class,LHR to GVA,2015-10-01,4.0,4.0,2.0,2.0,1.0,4,2.8333333333333335,0.0,Neutral,0.0,1,5,5,196,cracks are starting to appear,10
"""seats are just the same""",A320,Solo Leisure,Business Class,LHR to AMS,2015-10-01,3.0,4.0,2.0,2.0,4.0,2,2.8333333333333335,0.0,Neutral,0.0,1,5,7,662,seats are just the same,26
"""advise not to waste your money""",A320,Couple Leisure,Economy Class,Heathrow to Cancun via Madrid,2015-08-01,1.0,2.0,1.0,1.0,1.0,1,1.1666666666666667,0.3252,Positive,0.3252,2,6,1,662,advise not to waste your money,26
"""plenty of legroom""",Boeing 777,Couple Leisure,Premium Economy,LHR to SYD via SIN,2015-10-01,4.0,4.0,4.0,4.0,3.0,4,3.8333333333333335,0.0,Neutral,0.0,1,3,3,452,plenty of legroom,145
"""premium economy pathetic""",Boeing 777,Solo Leisure,Premium Economy,LHR to BKK,2015-09-01,2.0,4.0,2.0,2.0,2.0,1,2.1666666666666665,-0.5719,Negative,-0.5719,0,3,10,452,premium economy pathetic,145
"""last time using British Airways """,Boeing 777-200,Couple Leisure,Business Class,SYD to LHR via SIN,2015-10-01,1.0,4.0,3.0,4.0,4.0,2,3.0,0.0,Neutral,0.0,1,6,4,171,last time using british airways ,157
"""a huge improvement""",A380,Couple Leisure,Premium Economy,LHR to JNB,2015-10-01,5.0,5.0,4.0,5.0,4.0,3,4.333333333333333,0.6486,Positive,0.6486,2,3,8,302,a huge improvement,81
"""British Airways really don't care """,A319,Couple Leisure,Business Class,Pisa to London Gatwick,2015-10-01,2.0,4.0,2.0,2.0,2.0,2,2.3333333333333335,-0.4416,Negative,-0.4416,0,6,2,196,british airways really dont care ,10
"""how underwhelmed we were""",A380 / Boeing 777,Family Leisure,Business Class,LHR to SYD via SIN,2015-10-01,4.0,2.0,2.0,2.0,1.0,1,2.0,0.0,Neutral,0.0,1,4,3,4,how underwhelmed we were,85
"""my seat was broken""",Boeing 777-200,Business,Economy Class,Antigua to Gatwick,2015-10-01,1.0,2.0,1.0,2.0,4.0,2,2.0,-0.4767,Negative,-0.4767,0,4,5,171,my seat was broken,157
"""food and wine excellent""",A380,Couple Leisure,Business Class,London to Los Angeles,2015-10-01,4.0,5.0,5.0,4.0,4.0,4,4.333333333333333,0.5719,Positive,0.5719,2,4,10,302,food and wine excellent,81
"""lot of catching up to do""",Boeing 747-400,Business,Business Class,LHR to SIN,2015-10-01,3.0,2.0,2.0,1.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,6,8,275,lot of catching up to do,129
"""minimized the leg space""",A320,Business,Business Class,Athens to London,2015-10-01,1.0,2.0,2.0,2.0,1.0,1,1.5,0.0,Neutral,0.0,1,4,10,662,minimized the leg space,26
"""cabin crew efficient""",Boeing 777,Couple Leisure,Business Class,SAN to LHR,2015-10-01,4.0,5.0,3.0,4.0,4.0,4,4.0,0.4215,Positive,0.4215,2,3,1,452,cabin crew efficient,145
British Airways customer review,Boeing 777-200,Family Leisure,Premium Economy,Gatwick to Las Vegas,2015-10-01,4.0,3.0,3.0,4.0,3.0,3,3.3333333333333335,0.0,Neutral,0.0,1,4,4,171,british airways customer review,157
"""food was indifferent""",Boeing 747,Business,Premium Economy,Vancouver to London,2015-09-01,3.0,1.0,2.0,1.0,4.0,2,2.1666666666666665,-0.2023,Negative,-0.2023,0,3,17,135,food was indifferent,117
"""leg room was good""",A320,Couple Leisure,Economy Class,LHR to MAD,2015-10-01,4.0,3.0,3.0,3.4,5.0,5,3.9,0.4404,Positive,0.4404,2,4,2,662,leg room was good,26
"""clearly cost cutting now""",A319,Solo Leisure,Economy Class,Bologna to Heathrow,2015-10-01,2.0,3.0,2.0,2.0,3.0,4,2.6666666666666665,0.296,Positive,0.296,2,4,1,196,clearly cost cutting now,10
"""TV did not work entire flight""",Boeing 747 400,Couple Leisure,Economy Class,LAS to LHR,2015-10-01,3.0,3.0,2.0,2.0,3.0,3,2.6666666666666665,0.0,Neutral,0.0,1,6,6,10,tv did not work entire flight,123
"""obvious cost cutting""",A320,Couple Leisure,Business Class,Gatwick to Pisa,2015-10-01,2.0,2.0,3.0,3.4,4.0,3,2.9,-0.128,Negative,-0.128,0,3,3,662,obvious cost cutting,26
"""a total rip off""",A319,Solo Leisure,Economy Class,Heathrow to Belfast,2015-08-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,3,196,a total rip off,10
"""service was efficient and friendly""",A319,Couple Leisure,Business Class,Gatwick to Bari,2015-09-01,4.0,5.0,4.0,2.6,5.0,5,4.266666666666667,0.7184,Positive,0.7184,2,5,2,196,service was efficient and friendly,10
"""never fly British Airways again""",Boeing 767,Solo Leisure,Business Class,Rome to London,2015-10-01,1.0,1.0,1.0,1.4,1.0,2,1.2333333333333334,0.0,Neutral,0.0,1,5,9,68,never fly british airways again,140
"""one of the worst experiences""",A380,Business,Business Class,SIN to BOS via LHR,2015-09-01,1.0,2.0,1.0,1.0,1.0,1,1.1666666666666667,-0.6249,Negative,-0.6249,0,5,1,302,one of the worst experiences,81
"""cabin crew was not the friendliest""",Boeing 777,Solo Leisure,Business Class,LHR to SAN,2015-09-01,4.0,2.0,1.0,2.0,2.0,1,2.0,-0.4449,Negative,-0.4449,0,6,2,452,cabin crew was not the friendliest,145
"""pay to choose seats""",A319,Solo Leisure,Economy Class,London to Rome,2015-10-01,3.0,4.0,3.0,3.4,3.0,3,3.233333333333333,-0.1027,Negative,-0.1027,0,4,6,196,pay to choose seats,10
"""behind their competitors""",767-300,Family Leisure,First Class,LHR to ARN,2015-10-01,4.0,4.0,3.0,3.4,3.0,3,3.4,0.0,Neutral,0.0,1,3,3,3,behind their competitors,0
"""great choice of films""",A320,Solo Leisure,Economy Class,MAN to SVO via LHR,2015-09-01,5.0,5.0,5.0,5.0,4.0,5,4.833333333333333,0.6249,Positive,0.6249,2,4,1,662,great choice of films,26
"""disgraceful attitude""",Boeing 777-200,Couple Leisure,Economy Class,TLV to SAN via LHR,2015-10-01,3.0,3.0,4.0,2.0,1.0,1,2.3333333333333335,0.0,Neutral,0.0,1,2,1,171,disgraceful attitude,157
"""decent service for a short flight""",A319/A321,Couple Leisure,Economy Class,LHR to AMS,2015-10-01,4.0,5.0,2.0,2.0,4.0,4,3.5,0.0,Neutral,0.0,1,6,7,4,decent service for a short flight,25
"""a disgrace and inedible""",Boeing 777-200,Business,Economy Class,Heathrow to Bahrain,2015-10-01,2.0,3.0,1.0,2.0,3.0,3,2.3333333333333335,-0.4939,Negative,-0.4939,0,4,1,171,a disgrace and inedible,157
"""service was good""",A380,Business,Business Class,LHR to SIN,2015-08-01,4.0,4.0,4.0,4.0,4.0,5,4.166666666666667,0.4404,Positive,0.4404,2,3,8,302,service was good,81
"""cabin the biggest disappointment""",Boeing 777-200,Family Leisure,Economy Class,LHR to KUL,2015-08-01,2.0,4.0,3.0,3.0,5.0,4,3.5,-0.5106,Negative,-0.5106,0,4,7,171,cabin the biggest disappointment,157
"""failed to provide information""",A320,Solo Leisure,Economy Class,HEL to JNB via LHR,2015-10-01,1.0,4.0,2.7091954022988505,2.636533432947329,1.0,1,2.05762147254103,-0.5106,Negative,-0.5106,0,4,1,662,failed to provide information,26
"""a pleasant flight""",Boeing 777-200,Solo Leisure,Economy Class,London to Bangkok,2015-04-01,4.0,4.0,3.0,3.0,3.0,3,3.3333333333333335,0.5106,Positive,0.5106,2,3,6,171,a pleasant flight,157
"""plane was really scruffy""",Boeing 777-200,Couple Leisure,Premium Economy,GLA to BKK via LHR,2015-10-01,3.0,4.0,4.0,2.0,4.0,3,3.3333333333333335,0.0,Neutral,0.0,1,4,2,171,plane was really scruffy,157
"""legroom could be better""",A320,Couple Leisure,Business Class,Fuereventura to LGW,2015-10-01,4.0,5.0,5.0,3.4,4.0,5,4.3999999999999995,0.4404,Positive,0.4404,2,4,1,662,legroom could be better,26
"""will now be considering other airlines""",Boeing 747-400,Couple Leisure,Economy Class,DUB to LAS via LHR,2015-10-01,1.0,2.0,2.0,2.0,3.0,3,2.1666666666666665,0.0,Neutral,0.0,1,6,1,275,will now be considering other airlines,129
"""inflight entertainment is rubbish""",Boeing 747,Family Leisure,Economy Class,Jersey to MIA via London,2015-04-01,1.0,4.0,1.0,1.0,3.0,3,2.1666666666666665,0.4215,Positive,0.4215,2,4,1,135,inflight entertainment is rubbish,117
"""no passenger baggage arrived""",Boeing 777,Couple Leisure,Economy Class,YYZ to FCO via LHR,2015-09-01,4.0,4.0,4.0,4.0,1.0,2,3.1666666666666665,0.0,Neutral,0.0,1,4,1,452,no passenger baggage arrived,145
"""need help to get the service right""",Boeing 777-300,Business,First Class,LHR to SYD via SIN,2015-09-01,5.0,4.0,5.0,5.0,5.0,5,4.833333333333333,0.4019,Positive,0.4019,2,7,3,54,need help to get the service right,167
"""you could care less""",Boeing 777-300,Couple Leisure,Premium Economy,DFW to LHR,2015-09-01,3.0,4.0,4.0,3.0,3.0,2,3.1666666666666665,0.4939,Positive,0.4939,2,4,2,54,you could care less,167
"""Fawlty Towers of customer service""",Boeing 747 / 777,Family Leisure,Economy Class,No Route,2015-02-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,Neutral,0.0,1,5,6,9,fawlty towers of customer service,119
"""seamless and effortless""",Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,2015-10-01,4.0,4.0,4.0,4.0,5.0,4,4.166666666666667,0.0,Neutral,0.0,1,3,14,275,seamless and effortless,129
"""new plane, tired old seat design""",A380,Business,Business Class,HKG to LHR,2015-09-01,3.0,3.0,4.0,4.0,4.0,3,3.5,-0.4404,Negative,-0.4404,0,6,9,302,new plane tired old seat design,81
"""airline with very mixed quality""",A320 / Boeing 787,Business,Premium Economy,DUS to PHL via LHR,2015-09-01,5.0,3.0,5.0,5.0,3.0,4,4.166666666666667,0.0,Neutral,0.0,1,5,1,5,airline with very mixed quality,33
"""food choice was great""",Boeing 747-400,Solo Leisure,Business Class,LAS to LHR,2015-09-01,3.0,5.0,5.0,2.0,4.0,3,3.6666666666666665,0.6249,Positive,0.6249,2,4,6,275,food choice was great,129
"""brusque drinks service""",A320,Solo Leisure,Economy Class,Heathrow to Manchester,2015-10-01,3.0,1.0,1.0,1.4,3.0,1,1.7333333333333334,0.0,Neutral,0.0,1,3,3,662,brusque drinks service,26
"""our luggage left at Heathrow""",Boeing 777,Couple Leisure,Economy Class,London to Toronto,2015-09-01,4.0,3.0,2.0,4.0,3.0,2,3.0,0.0,Neutral,0.0,1,5,10,452,our luggage left at heathrow,145
"""Boeing 747 horribly outdated""",Boeing 747-400,Business,Economy Class,LHR to SFO,2015-09-01,1.0,3.0,3.0,1.0,1.0,1,1.6666666666666667,-0.5267,Negative,-0.5267,0,4,9,275,boeing  horribly outdated,129
"""very disappointed in British Airways""",Boeing 777,Family Leisure,Business Class,LHR to Chicago O'Hare,2014-12-01,4.0,2.0,1.0,1.0,4.0,4,2.6666666666666665,-0.5256,Negative,-0.5256,0,5,1,452,very disappointed in british airways,145
"""disgraceful level of cleanliness""",A350,Business,Business Class,Nairobi to London,2015-09-01,3.0,4.0,4.0,3.0,4.0,3,3.5,0.0,Neutral,0.0,1,4,2,39,disgraceful level of cleanliness,79
"""staff were great""",A320 and A319,Solo Leisure,Economy Class,lgw to alicante,2015-09-01,4.0,5.0,4.0,2.6,3.0,5,3.9333333333333336,0.6249,Positive,0.6249,2,3,1,1,staff were great,38
"""seats are far too cramped""",Boeing 747-400,Solo Leisure,Economy Class,Phoenix to Heathrow,2015-09-01,1.0,4.0,1.0,2.0,3.0,2,2.1666666666666665,0.0,Neutral,0.0,1,5,2,275,seats are far too cramped,129
"""crew were friendly and attentive""",A319,Family Leisure,Economy Class,LGW to ALC,2015-08-01,4.0,4.0,4.0,2.6,4.0,4,3.766666666666667,0.4939,Positive,0.4939,2,5,2,196,crew were friendly and attentive,10
"""clapped-out aircraft""",Boeing 747-400,Couple Leisure,Economy Class,London to Johannesburg,2015-09-01,1.0,3.0,1.0,2.0,1.0,1,1.5,0.0,Neutral,0.0,1,2,21,275,clappedout aircraft,129
"""pretty much a low-cost airline""",A320,Business,Economy Class,VIE to LHR,2015-09-01,4.0,4.0,4.0,2.6,5.0,4,3.9333333333333336,0.4939,Positive,0.4939,2,5,1,662,pretty much a lowcost airline,26
"""seats were extremely small""",Boeing 747 / 777,Couple Leisure,Economy Class,No Route,2015-09-01,1.0,3.0,1.0,1.0,4.0,2,2.0,0.0,Neutral,0.0,1,4,6,9,seats were extremely small,119
"""a smile would go a long way""",Boeing 747-400,Couple Leisure,Economy Class,Denver to London,2015-08-01,1.0,2.0,3.0,2.0,3.0,2,2.1666666666666665,0.3612,Positive,0.3612,2,7,4,275,a smile would go a long way,129
"""made to feel a huge inconvenience""",A321,Solo Leisure,Business Class,Heathrow to Munich,2015-09-01,4.0,1.0,3.0,3.4,4.0,1,2.733333333333333,-0.0516,Negative,-0.0516,0,6,1,126,made to feel a huge inconvenience,59
"""never fly British Airways again""",Boeing 747-400,Family Leisure,Economy Class,Phoenix to Heathrow,2015-09-01,1.0,2.0,1.0,1.0,2.0,1,1.3333333333333333,0.0,Neutral,0.0,1,5,2,275,never fly british airways again,129
"""fare paid very similar to easyJet""",A320,Solo Leisure,Business Class,LGW to SSH,2015-09-01,3.0,5.0,4.0,2.6,5.0,3,3.766666666666667,0.0,Neutral,0.0,1,6,2,662,fare paid very similar to easyjet,26
"""pre-boarding not a premium product""",A320,Solo Leisure,Business Class,SSH to LGW,2015-09-01,1.0,5.0,4.0,2.6,1.0,3,2.766666666666667,0.0,Neutral,0.0,1,5,2,662,preboarding not a premium product,26
"""we were pleasantly surprised""",A320,Family Leisure,Economy Class,LHR to GIB,2015-09-01,4.0,5.0,1.0,1.4,3.0,4,3.0666666666666664,0.6124,Positive,0.6124,2,4,1,662,we were pleasantly surprised,26
"""cabin crew tend to forget you""",Boeing 747-400,Business,Business Class,LHR to DXB,2015-09-01,4.0,3.0,5.0,3.0,4.0,3,3.6666666666666665,-0.2263,Negative,-0.2263,0,6,8,275,cabin crew tend to forget you,129
"""compared with old seats, not very comfortable""",A320,Business,Business Class,Stockholm to London,2015-09-01,2.0,3.0,4.0,2.6,5.0,3,3.266666666666667,-0.4439,Negative,-0.4439,0,7,4,662,compared with old seats not very comfortable,26
"""they did not have my vegetarian meal""",Boeing 747,Family Leisure,Economy Class,London to Seattle,2015-08-01,4.0,3.0,1.0,3.0,4.0,4,3.1666666666666665,0.0,Neutral,0.0,1,7,5,135,they did not have my vegetarian meal,117
British Airways customer review,Boeing 777,Couple Leisure,Business Class,SYD to SIN,2015-05-01,4.0,4.0,4.0,4.0,4.0,5,4.166666666666667,0.0,Neutral,0.0,1,4,2,452,british airways customer review,145
"""lose some of their arrogant approach""",Boeing 777,Business,Business Class,HND to LHR,2015-09-01,2.0,2.0,1.0,2.0,3.0,2,2.0,-0.7096,Negative,-0.7096,0,6,2,452,lose some of their arrogant approach,145
"""product and service is so old and tired""",Boeing 747-400,Solo Leisure,Business Class,Vancouver to London,2015-09-01,3.0,4.0,3.0,1.0,4.0,2,2.8333333333333335,-0.4877,Negative,-0.4877,0,8,17,275,product and service is so old and tired,129
"""for just £39 was a bargain""",A320,Solo Leisure,Economy Class,Barcelona to London Heathrow,2015-09-01,4.0,4.0,3.0,3.4,4.0,5,3.9,0.2023,Positive,0.2023,2,6,1,662,for just  was a bargain,26
"""British Airways could not care less""",Boeing 777,Couple Leisure,Economy Class,St Kitts to Gatwick via Antigua,2015-09-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.3875,Negative,-0.3875,0,6,1,452,british airways could not care less,145
"""British Airways a cut above US carriers""",Boeing 777,Solo Leisure,Premium Economy,LHR to IAD,2015-09-01,5.0,5.0,5.0,5.0,5.0,5,5.0,-0.2732,Negative,-0.2732,0,7,6,452,british airways a cut above us carriers,145
"""not recommend flying long haul with BA""",Boeing 777,Couple Leisure,Economy Class,London Gatwick to Cancun,2015-09-01,3.0,2.0,1.0,3.0,2.0,2,2.1666666666666665,-0.2755,Negative,-0.2755,0,7,4,452,not recommend flying long haul with ba,145
"""wouldn't recommend spending extra for Club Europe""",A320,Couple Leisure,Business Class,LHR to Bologna,2015-09-01,1.0,5.0,3.0,3.4,3.0,1,2.733333333333333,-0.2755,Negative,-0.2755,0,7,1,662,wouldnt recommend spending extra for club europe,26
"""my wife and I were seated 4 rows apart""",Boeing 767,Couple Leisure,Economy Class,LCA to LHR,2015-09-01,1.0,4.0,2.0,1.0,1.0,2,1.8333333333333333,0.0,Neutral,0.0,1,9,4,68,my wife and i were seated  rows apart,140
"""flight experience was great""",A320,Couple Leisure,Economy Class,AMS to LHR,2015-09-01,5.0,3.0,3.0,3.4,4.0,5,3.9,0.6249,Positive,0.6249,2,4,5,662,flight experience was great,26
"""cabin interior looked old and worn""",Boeing 747-400,Couple Leisure,Economy Class,LHR to MIA,2015-09-01,3.0,5.0,5.0,4.0,4.0,4,4.166666666666667,-0.296,Negative,-0.296,0,6,13,275,cabin interior looked old and worn,129
"""customer service was poor""",A320,Solo Leisure,Economy Class,LHR to CPH,2015-08-01,1.0,2.0,1.0,1.4,4.0,2,1.9000000000000001,-0.4767,Negative,-0.4767,0,4,3,662,customer service was poor,26
"""best pasta dish I have had on a plane""",A318,Business,Business Class,LCY to JFK via SNN,2015-09-01,5.0,5.0,5.0,3.0,5.0,4,4.5,0.6369,Positive,0.6369,2,9,1,6,best pasta dish i have had on a plane,9
"""efficient, punctual and comfortable""",A320,Couple Leisure,Economy Class,LHR to BUD,2015-09-01,5.0,5.0,3.0,3.4,5.0,5,4.3999999999999995,0.7269,Positive,0.7269,2,4,4,662,efficient punctual and comfortable,26
"""look at competitors. otherwise book economy""",Boeing 737,Business,Business Class,Gatwick to Naples,2015-09-01,1.0,5.0,2.0,1.0,3.0,1,2.1666666666666665,0.0,Neutral,0.0,1,6,1,9,look at competitors otherwise book economy,112
"""Club Europe is poor value""",A320,Couple Leisure,Business Class,LHR to KGS,2015-09-01,2.0,2.0,2.0,2.0,2.0,2,2.0,-0.1779,Negative,-0.1779,0,5,2,662,club europe is poor value,26
"""British Airways service getting worse and worse""",Boeing 747-400,Couple Leisure,First Class,Boston to London,2015-09-01,2.0,5.0,2.0,1.0,2.0,1,2.1666666666666665,-0.7351,Negative,-0.7351,0,7,4,275,british airways service getting worse and worse,129
"""British Airways service slipping rapidly""",A320,Solo Leisure,Economy Class,LHR to OSL,2015-08-01,4.0,3.0,4.0,2.6,5.0,4,3.766666666666667,0.0,Neutral,0.0,1,5,1,662,british airways service slipping rapidly,26
"""Seats in Club Europe identical to Economy""",Embraer E190,Family Leisure,Business Class,LCY to Granada,2015-07-01,1.0,4.0,1.0,1.4,1.0,1,1.5666666666666667,0.0,Neutral,0.0,1,7,1,1,seats in club europe identical to economy,204
"""what has happened to British Airways""",Boeing 747,Couple Leisure,Economy Class,Glasgow to Paris via LHR,2015-09-01,3.0,3.0,2.0,2.0,1.0,3,2.3333333333333335,0.0,Neutral,0.0,1,6,1,135,what has happened to british airways,117
"""enjoyed the flight in Club World""",Boeing 777-200ER,Solo Leisure,Business Class,St Lucia to LGW,2015-09-01,5.0,5.0,5.0,5.0,5.0,4,4.833333333333333,0.5106,Positive,0.5106,2,6,1,10,enjoyed the flight in club world,163
"""I will still avoid British Airways if I can""",Boeing 747-400,Couple Leisure,Premium Economy,LHR to PHX,2015-09-01,4.0,5.0,3.0,2.0,4.0,5,3.8333333333333335,-0.296,Negative,-0.296,0,9,3,275,i will still avoid british airways if i can,129
"""greedy company who are in decline""",A319,Couple Leisure,Economy Class,Gatwick to Barcelona,2015-09-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.3182,Negative,-0.3182,0,6,4,196,greedy company who are in decline,10
"""British Airways has fallen prey to greed""",A319,Business,Business Class,LHR to BRU,2015-09-01,1.0,2.0,1.0,1.0,3.0,1,1.5,-0.6369,Negative,-0.6369,0,7,2,196,british airways has fallen prey to greed,10
"""British Airways have gradually deteriorated""",Boeing 747-400,Couple Leisure,Economy Class,Heathrow to Vancouver,2015-07-01,2.0,2.0,1.0,1.0,3.0,3,2.0,0.0,Neutral,0.0,1,5,2,275,british airways have gradually deteriorated,129
"""Boeing 747-400 well past a major refurbishment""",Boeing 747-400,Couple Leisure,Economy Class,Glasgow to Cape Town via LHR,2015-09-01,1.0,3.0,2.0,1.0,3.0,3,2.1666666666666665,0.2732,Positive,0.2732,2,7,1,275,boeing  well past a major refurbishment,129
"will never fly British Airways again """,Boeing 747 / 777 / A380,Solo Leisure,Business Class,DXB to IAD via LHR,2015-09-01,1.0,2.0,1.0,1.0,3.0,2,1.6666666666666667,0.0,Neutral,0.0,1,7,1,1,will never fly british airways again ,120
"""Overall a pleasant experience""",Boeing 777,Solo Leisure,Premium Economy,YYZ to LHR,2015-09-01,3.0,5.0,5.0,3.0,4.0,5,4.166666666666667,0.5106,Positive,0.5106,2,4,6,452,overall a pleasant experience,145
"""British Airways customer service is laughable""",A380,Couple Leisure,Economy Class,Heathrow to Amsterdam,2015-08-01,2.0,2.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,0.0516,Positive,0.0516,2,6,1,302,british airways customer service is laughable,81
"""seat comfortable in World Traveller Plus""",Boeing 747-400,Solo Leisure,Premium Economy,LHR to MIA,2015-09-01,5.0,5.0,5.0,3.0,5.0,5,4.666666666666667,0.5106,Positive,0.5106,2,6,13,275,seat comfortable in world traveller plus,129
"""I will avoid British Airways in the future""",Boeing 747-400,Solo Leisure,Business Class,Istanbul to Denver via LHR,2015-09-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.296,Negative,-0.296,0,8,1,275,i will avoid british airways in the future,129
"""very nice seats and comfortable""",Boeing 767,Couple Leisure,Economy Class,Madrid to Heathrow,2015-09-01,5.0,5.0,4.0,2.6,5.0,5,4.433333333333334,0.7501,Positive,0.7501,2,5,2,68,very nice seats and comfortable,140
"""I was very disappointed with British Airways""",Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Mauritius,2015-09-01,1.0,4.0,2.0,2.0,3.0,2,2.3333333333333335,-0.5256,Negative,-0.5256,0,7,6,171,i was very disappointed with british airways,157
"""Boeing 777-200 needs replacing soon""",Boeing 777-200,Couple Leisure,Economy Class,Moscow to Heathrow,2015-08-01,3.0,4.0,3.0,3.0,3.0,3,3.1666666666666665,0.0,Neutral,0.0,1,5,2,171,boeing  needs replacing soon,157
"""overall a comfortable short flight""",A319,Couple Leisure,Economy Class,London to St Petersburgh,2015-08-01,3.0,4.0,4.0,2.6,3.0,4,3.4333333333333336,0.5106,Positive,0.5106,2,5,2,196,overall a comfortable short flight,10
"""even US carriers offer superior seating""",A380,Couple Leisure,Business Class,Los Angeles to London,2015-09-01,3.0,4.0,4.0,4.0,4.0,3,3.6666666666666665,0.5423,Positive,0.5423,2,6,12,302,even us carriers offer superior seating,81
